,site,date,detector_date,bug_date,bug_1,bug_2,bug_3,20110714,20110802,20110818
236,RILAR,20110823,SM4_20110823,20110818,20110714,20110802,20110818,19.0,29.199999999999999,14.0
237,RILAR,20110824,SM4_20110824,20110818,20110714,20110802,20110818,19.0,29.199999999999999,14.0
238,RILAR,20110825,SM4_20110825,20110818,20110714,20110802,20110818,19.0,29.199999999999999,14.0
239,RILAR,20110826,SM4_20110826,20110818,20110714,20110802,20110818,19.0,29.199999999999999,14.0
240,RIWRR,20110728,SM2_20110728,20110802,20110714,20110802,20110818,9.4000000000000004,7.2000000000000002,3.0
241,RIWRR,20110729,SM2_20110729,20110802,20110714,20110802,20110818,9.4000000000000004,7.2000000000000002,3.0
242,RIWRR,20110730,SM2_20110730,20110802,20110714,20110802,20110818,9.4000000000000004,7.2000000000000002,3.0
243,RIWRR,20110731,SM2_20110731,20110802,20110714,20110802,20110818,9.4000000000000004,7.2000000000000002,3.0
244,RIWRR,20110823,SM3_20110823,20110818,20110714,20110802,20110818,9.4000000000000004,7.2000000000000002,3.0
245,RIWRR,20110824,SM3_20110824,20110818,20110714,20110802,20110818,9.4000000000000004,7.2000000000000002,3.0
246,RIWRR,20110825,SM3_20110825,20110818,20110714,20110802,20110818,9.4000000000000004,7.2000000000000002,3.0
247,RIWRR,20110826,SM3_20110826,20110818,20110714,20110802,20110818,9.4000000000000004,7.2000000000000002,3.0
248,SMMIP,20110724,SM4_20110724,20110802,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0
249,SMMIP,20110725,SM4_20110725,20110802,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0
250,SMMIP,20110726,SM4_20110726,20110802,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0
